,LoanNumber,DateApproved,BorrowerName,BorrowerAddress,BorrowerZip,LoanStatusDate,LoanStatus,Term,InitialApprovalAmount,BusinessAgeDescription,CD,JobsReported,Race,Ethnicity,BusinessType,Gender,Veteran,ForgivenessDate,category_title,rating,review_count,lat,lon,Yelp_Category
0,8728957203,4/28/2020,INTELLISOURCE,"1899 Wynkoop St, Ste 200",80202,6/17/2021,Paid in Full,24,7275742.0,Existing or more than 2 years old,CO-01,500.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,6/11/2021,"Employment Agencies, ",1.5,7,39.75476,-104.99791,Professional Services
1,8681407204,4/28/2020,PRIMESOURCE STAFFING,"10065 E Harvard Ave, Suite 230",80231,7/20/2021,Paid in Full,24,5906386.28,,CO-01,500.0,,,Limited  Liability Company(LLC),,,6/11/2021,"Employment Agencies, ",1.0,1,39.72605896,-104.9832382,Professional Services
2,9826177105,4/15/2020,ALLY PRODUCTS,1635 W 13TH AVE,80204,9/28/2021,Paid in Full,24,5865500.0,Existing or more than 2 years old,CO-01,391.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,8/11/2021,"Office Equipment, Business Consulting, IT Services & Computer Repair, ",2.5,3,39.73724,-105.00831,Professional Services
3,2089597208,4/15/2020,DAVIS GRAHAM & STUBBS LLP,"1550 17th Street, Ste 500",80202,7/13/2021,Paid in Full,24,5114560.0,Existing or more than 2 years old,CO-01,227.0,,,Partnership,,,6/15/2021,"Lawyers, ",3.0,2,39.75168,-104.9989499,Professional Services
4,8574487102,4/15/2020,ORTHOPEDIC CENTERS OFORADO,8101 LOWRY BLVD,80230,9/25/2021,Paid in Full,24,3527000.0,Existing or more than 2 years old,CO-01,249.0,,,Limited  Liability Company(LLC),,,8/9/2021,"Sports Medicine, Orthopedists, ",1.0,4,39.71789267,-104.895233,Health
5,7218167001,4/7/2020,ARGUS EVENT STAFFING,4001 Fox Street,80216,,Exemption 4,60,3230500.0,Existing or more than 2 years old,CO-01,500.0,,,Limited  Liability Company(LLC),,,7/30/2021,"Employment Agencies, ",1.0,1,39.771974,-104.995255,Professional Services
6,3999547110,4/12/2020,GRAND PEAKS PROPERTY MANAGEMENT,"4582 S Ulster St Pkwy, Suite 1200",80237,9/14/2021,Paid in Full,24,2874600.0,,CO-01,258.0,,,Corporation,,,8/24/2021,"Property Management, ",1.0,8,39.63288594,-104.89878,Real Estate
7,8400557001,4/8/2020,ENSCICONPORATION,2420 W  26TH AVE,80211,7/8/2021,Paid in Full,24,2734353.0,Existing or more than 2 years old,CO-01,151.0,,,Corporation,,,6/28/2021,"Employment Agencies, ",5.0,3,39.75391,-105.01672,Professional Services
8,9123038501,3/12/2021,ENSCICONPORATION,2420 W 26th Ave Ste 500D,80211,9/16/2021,Paid in Full,60,2000000.0,Existing or more than 2 years old,CO-01,237.0,,,Corporation,,,8/2/2021,"Employment Agencies, ",5.0,3,39.75391,-105.01672,Professional Services
9,2487277702,5/1/2020,OPTIMAL HOME CARE,4380 S SYRACUSE ST STE 600,80237,7/23/2021,Paid in Full,24,2315912.0,Existing or more than 2 years old,CO-01,181.0,,,Sole Proprietorship,Male Owned,Non-Veteran,6/11/2021,"Physical Therapy, Home Health Care, ",3.0,5,39.637339,-104.898715,Health
