,LoanNumber,DateApproved,BorrowerName,BorrowerAddress,BorrowerZip,LoanStatusDate,LoanStatus,Term,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,RuralUrbanIndicator,BusinessAgeDescription,CD,JobsReported,Race,Ethnicity,BusinessType,Gender,Veteran,ForgivenessAmount,ForgivenessDate
669809,4069407308,04/29/2020,KAVKAZ EXPRESS LLC,8051 E BAYAUD AVE,80230-6748,09/24/2021,Paid in Full,24,149900.0,149900.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,151801.47,08/18/2021
669810,4923917101,04/13/2020,SOUTHWESTERN PROPERTY CORP,7979 E Tufts Ave Suite 1125,80237-2521,04/08/2021,Paid in Full,24,149900.0,149900.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,151296.33,03/29/2021
669835,1207727109,04/10/2020,"ARM DATA CENTER SERVICES, INC.",1550 Wewatta St,80202-6159,07/20/2021,Paid in Full,24,149800.0,149800.0,0.0,U,New Business or 2 years or less,CO-01,9.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,151544.25,06/17/2021
669838,4436977209,04/27/2020,S & S RESTAURANT GROUP INC,92 S PENNSYLVANIA ST,80209,03/11/2021,Paid in Full,24,149800.0,149800.0,0.0,U,Existing or more than 2 years old,CO-01,29.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,140526.18,11/03/2020
669839,8556267004,04/08/2020,VOLUNTEERS FOR OUTDOOR COLORADO,600 S Marion Parkway,80209-2597,03/19/2021,Paid in Full,24,149800.0,149800.0,0.0,U,Existing or more than 2 years old,CO-01,15.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,151117.42,02/25/2021
669855,9858317104,04/15/2020,"ARC OF DENVER, INC.",950 S CHERRY ST STE 1100,80246-2667,02/16/2021,Paid in Full,24,149700.0,149700.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Female Owned,Non-Veteran,150585.9,11/27/2020
669868,6607577005,04/07/2020,"SAVE OUR YOUTH, INC.",3443 W 23rd Ave,80211-4503,06/12/2021,Paid in Full,24,149600.0,149600.0,0.0,U,Existing or more than 2 years old,CO-01,13.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,151245.6,05/18/2021
669871,7594057007,04/07/2020,SOLE SISTERS INC,239 Detroit Street,80246,04/21/2021,Paid in Full,24,149600.0,149600.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Female Owned,Unanswered,151100.1,04/12/2021
669892,1520377303,04/28/2020,VENTURE ARCHITECTURE INC,535 EAST MEXICO AVE,80210,07/13/2021,Paid in Full,24,149500.0,149500.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,151154.74,06/10/2021
669898,7665267009,04/07/2020,TERRIX FINANCIAL CORPORATION,1777 S. HARRISON ST Suite 301,80210-3905,05/18/2021,Paid in Full,24,149500.0,149500.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,151007.46,04/15/2021
669937,3972847705,05/01/2020,LOHI DENTAL PC,2200 W 29TH AVE SUITE B,80211,10/21/2021,Paid in Full,24,149286.0,149286.0,0.0,U,Existing or more than 2 years old,CO-01,13.0,White,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,151314.65,09/15/2021
669938,3243427109,04/11/2020,"KEY CONTACTS, LLC DBA LEGAL TV LEADS",201 MILWAUKEE ST STE 200,80206,05/22/2021,Paid in Full,24,149282.0,149282.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,150818.11,04/28/2021
669966,1511657106,04/10/2020,JOURNEY FOODS INC.,2413 W 32nd Ave,80211-3321,04/22/2021,Paid in Full,24,149108.0,149108.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,150463.72,03/18/2021
669968,1736337105,04/10/2020,"HERITAGE DIE CASTING COMPANY, INC","2050 S Pecos Street, Unit B",80223-3825,12/15/2020,Paid in Full,24,149100.0,149100.0,0.0,U,Existing or more than 2 years old,CO-01,14.0,White,Unknown/NotStated,Corporation,Unanswered,Unanswered,150007.03,11/19/2020
670001,8144537104,04/15/2020,METREX MAINTENANCE LLC,"6000 E Evans Ave, Suite 1-110",80222,05/19/2021,Paid in Full,60,149000.0,149000.0,0.0,U,Existing or more than 2 years old,CO-01,15.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,150567.56,05/10/2021
670002,8455777005,04/08/2020,ROCKY MOUNTAIN SURGICAL ASSOCIATES,"4545 E 9th Ave, Suite 460",80220-3900,02/06/2021,Paid in Full,24,152365.0,149000.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,150130.77,01/20/2021
670013,5353547001,04/05/2020,LOWRY SPEECH & OCCUPATIONAL THERAPY,695 S COLORADO BLVD,80246-8000,03/12/2021,Paid in Full,24,112000.0,148916.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,White,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,150172.61,02/17/2021
670016,6382917205,04/28/2020,"MEDICAL TELECOMMUNICATIONS, INC",3615 S TAMARAC DR #100,80237-1422,04/14/2021,Paid in Full,24,148900.0,148900.0,0.0,U,Unanswered,CO-01,28.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,150252.51,04/01/2021
670018,7547407002,04/07/2020,STRICTLY AUTOMOTIVE INC.,804 W 10th Ave,80204-3956,05/26/2021,Paid in Full,24,148900.0,148900.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,150438.63,04/20/2021
670030,2729597708,05/01/2020,"BATH &AMP; GRANITE 4 LESS, LLC DBA BATH AND  GRANITE",4755 E 46TH AVE,80216,05/21/2021,Paid in Full,24,148825.0,148825.0,0.0,U,Existing or more than 2 years old,CO-01,130.0,Unanswered,Not Hispanic or Latino,Corporation,Unanswered,Unanswered,150202.46,04/08/2021
670044,6364387001,04/06/2020,"ELEVATION SOLUTIONS, INC.",1624 MARKET ST STE 226-#81326,80202-1514,12/16/2020,Paid in Full,24,148777.0,148777.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,149592.22,11/03/2020
670061,6339317000,04/06/2020,ELKCO PROPERTIES INC,999 S. LOGAN ST STE 300,80209-4129,03/12/2021,Paid in Full,24,137400.0,148650.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,149875.85,02/11/2021
670069,8437477005,04/08/2020,"REGO RESTAURANT HOLDING II, LLC",4700 South Syracuse Street Suite 640,80237-2700,06/18/2021,Paid in Full,60,148600.0,148600.0,0.0,U,Existing or more than 2 years old,CO-01,5.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,150322.13,06/11/2021
670076,5984457103,04/14/2020,FMP CONSTRUCTION INC,2727 BRYANT ST,80211,05/21/2021,Paid in Full,24,148507.0,148507.0,0.0,U,Existing or more than 2 years old,CO-01,12.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,149954.94,04/08/2021
670106,3195967101,04/11/2020,"PHUNKSHUN WEAR, LLC",6900 E 47th Avenue Dr,80216,05/22/2021,Paid in Full,24,148355.0,148355.0,0.0,U,Unanswered,CO-01,24.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,149895.45,04/29/2021
